ЕП-41к,Теорія ймовірності та мат. статистика,Головня Р.М.,1,2,317,1,1
ЕП-41к,Гроші і кредит,Литвинчук І.В. ,1,3,430,1,1
ЕП-41к,Регіональна економіка,Ахромкін Є.М.,1,4,409,1,1
ЕП-41к,Історія укр. культури,Кондратюк Ю.С. ,0,1,225,1,2
ЕП-41к,Потенціал і розвиток під-ва ,Валінкевич Н.В.,0,2,414,1,2
ЕП-41к,Філософія,Муляр В.І.,0,3,401,1,2
ЕП-41к,Історія економіки та екон.думки ,Ущаповський Ю.В.,1,4,428,1,2
ЕП-41к,Блок 1 Ціноутворення на під-ві ,Станкевич Н.А. ,0,2,424,1,3
ЕП-41к,Блок 2 Аналіз банківської діяльності ,Виговський В.Г. ,0,2,317,1,3
ЕП-41к,Блок 1 Ціноутворення на під-ві ,Станкевич Н.А. ,1,3,2,1,3
ЕП-41к,Блок 2 Аналіз банківської діяльності ,Виговський В.Г. ,1,3,317,1,3
ЕП-41к,Фізичне виховання,Засік Г.Б.,,1,,1,4
ЕП-41к,Потенціал і розвиток під-в,Валінкевич Н.В.,1,2,422,1,4
ЕП-41к,Макроекономіка ,Костриця А.Л.,0,3,315,1,4
ЕП-41к,Макроекономіка,Костриця А.Л.,1,4,430,1,4
ЕП-41к,Звітність підприємства ,Городиський М.М.,0,1,432,1,5
ЕП-41к,Організація виробництва,Ткачук А.Ю.,0,2,426,1,5
ЕП-41к,Організація виробництва,Ткачук А.Ю.,1,3,415,1,5
ЕП-41к,Іноземна мова,Курносова Н.О.,1,4,320,1,5
ЕП-41к,Іноземна мова,Фурсова Л.О.,1,4,130,1,5
ЕП-41к,Гроші і кредит,Литвинчук І.В.  ,0,1,411,2,1
ЕП-41к,Гроші і кредит,Литвинчук І.В. ,1,2,411,2,1
ЕП-41к,Регіональна економіка,Ахромкін Є.М.,0,3,312,2,1
ЕП-41к,Регіональна економіка,Ахромкін Є.М.,1,4,312,2,1
ЕП-41к,Фізичне виховання,Засік Г.Б.,,1,,2,2
ЕП-41к,Теорія ймовірності та мат.стат. ,Головня Р.М.,1,2,317,2,2
ЕП-41к,Потенціал і розвиток під-в ,Валінкевич Н.В.,0,3,409,2,2
ЕП-41к,Потенціал і розвиток під-в ,Валінкевич Н.В.,1,4,409,2,2
ЕП-41к,Блок 1 Етика і естетика ,Саннікова С.Б.,0,1,325,2,3
ЕП-41к,Блок 2 Трудове право ,Шпиталенко Г.А.,0,1,414,2,3
ЕП-41к,Блок 1 Ціноутворення на під-ві,Станкевич Н.А.,0,2,428,2,3
ЕП-41к,Блок 2 Аналіз банківської діяльності ,Виговський В.Г. ,0,2,319,2,3
ЕП-41к,Блок 1 Ціноутворення на під-ві,Станкевич Н.А.,1,3,132,2,3
ЕП-41к,Блок 2 Аналіз банківської діяльності ,Виговський В.Г. ,1,3,411,2,3
ЕП-41к,Макроекономіка ,Костриця А.Л.,1,1,430,2,4
ЕП-41к,Звітність підприємства ,Городиський М.М.,1,2,138,2,4
ЕП-41к,Історія економіки та екон.думки ,Ущаповський Ю.В.,0,3,409,2,4
ЕП-41к,Історія укр. культури,Кондратюк Ю.С.,1,1,227,2,5
ЕП-41к,Організація виробництва,Ткачук А.Ю. ,1,2,414,2,5
ЕП-41к,Історія економіки та екон.думки ,Ущаповський Ю.В.,1,3,414,2,5
ЕП-41к,Філософія,Литвинчук О.В.,1,4,414,2,5
